gen,ga_best_fitness,ga_avg_fitness,ga_noise
0,-0.019745869956481546,-2.8673656509658807,2.807655963831017
1,-0.019745869956481546,-0.7669009007311043,0.8778476600966906
2,-0.019745869956481546,-0.5732047258145997,0.25778736054902557
3,0.07140596970874638,-0.347032005941901,0.3388371634101812
4,0.07140596970874638,-0.20439611771852215,0.19108303406538527
5,0.07140596970874638,-0.17626339413801873,0.23820942015753824
6,0.07140596970874638,-0.11981824833802668,0.2348488836228746
7,0.07140596970874638,-0.14383170321431213,0.1567164573601333
8,0.07140596970874638,-0.22026851581096749,0.3015103346282732
9,0.07527387583039272,-0.28778242323530956,0.4043849588575848
10,0.09589521160379048,-0.0990953454521262,0.12734682535302178
11,0.11939484495053881,-0.08948689681552546,0.21977003451216626
12,0.11939484495053881,-0.07494393750600771,0.09436528736107032
13,0.11939484495053881,-0.09430897211509698,0.1450129739282193
14,0.11939484495053881,-0.14476473208107782,0.31591861124118065
15,0.11939484495053881,-0.1852038326045886,0.2876594330400801
16,0.11939484495053881,-0.1974586713899696,0.3380873895031945
17,0.11939484495053881,-0.13963692369928501,0.16626009719044324
18,0.11939484495053881,-0.22646467845192272,0.3864993984904961
19,0.11939484495053881,-0.12234234722370385,0.22316839486038534
20,0.11939484495053881,-0.16753628089475578,0.24658488229480335
21,0.11939484495053881,-0.11552659304873636,0.14249792043125878
22,0.11939484495053881,-0.0909043843319456,0.11921187089667193
23,0.11939484495053881,-0.20882937160770204,0.373933714031008
24,0.11939484495053881,-0.12075714846582057,0.2703667405261164
25,0.11939484495053881,-0.20085195228592614,0.3669772555624339
26,0.11939484495053881,-0.14125582468640058,0.23749189442652469
27,0.12268922680893081,-0.1688116812178306,0.268705387691533
28,0.12268922680893081,-0.22029083669196078,0.2914958468879603
29,0.12268922680893081,-0.27946881268416507,0.35440771879037414
